category,description,title,institute,timestamp,site,credits,id
,"A study of Nietzsche's philosophy, focusing on one or more of his works.",Nietzsche,Boston University,,www.bu.edu,4,GRS PH 619
,"A study of Hegel's systematic philosophy, focusing on one or more of his works.",Hegel,Boston University,,www.bu.edu,4,GRS PH 616
,"Study of the important themes in the philosophy of Hegel, Marx, Kierkegaard, and Nietzsche. ",Nineteenth-Century Philosophy,Boston University,,www.bu.edu,4,GRS PH 615
,"A study of Kant's critical philosophy, focusing on one or more of his works.",Kant,Boston University,,www.bu.edu,4,GRS PH 613
,"A critical study of major texts of British Empiricists, with emphasis on Locke and Hume. ",British Empiricism,Boston University,,www.bu.edu,4,GRS PH 611
,A critical study of major texts of seventeenth-century philosophy.,Continental Rationalism,Boston University,,www.bu.edu,4,GRS PH 610
,"A study of selected texts in medieval philosophy. Authors include St. Augustine, Boethius, St. Anselm, Peter  Abelard, Avicenna, Thomas Aquinas, Duns Scotus.",History of Medieval Philosophy,Boston University,,www.bu.edu,4,GRS PH 608
,"A close reading of Aristotle's writings on practical philosophy (i.e., the Nicomachean Ethics and the Politics)  and of his philosophy of art in the Poetics, focusing on the nature of human happiness and the good life,  the question of the best form of political government, and the function of art for life.",Aristotle II,Boston University,,www.bu.edu,4,GRS PH 606
,"A careful study of Aristotle's theoretical philosophy conducted through a close reading of selections from  the Categories, Posterior Analytics, Physics, On the Soul, and the Metaphysics.",Aristotle I,Boston University,,www.bu.edu,4,GRS PH 605
,"Surface physics; intermediate energy nuclear physics experiments; low temperature techniques; liquid and  solid helium; and magnetism at low temperatures. Raman effect, gels, and biophysics. High-energy  physics experimental techniques.",Seminar: Special Topics in Experimental Physics,Boston University,,www.bu.edu,4,GRS PY 897
,"Theoretical research topics include general relativity, quantum field theory, high energy and particle physics, phase transitions, renormalization group, laser physics, kinetic equations, biophysics, computational physics, and selected topics in mathematical physics. ",Seminar: Special Topics in Theoretical Physics,Boston University,,www.bu.edu,4,GRS PY 896
,"Theoretical research topics include general relativity, quantum field theory, high energy and particle physics, phase transitions, renormalization group, laser physics, kinetic equations, biophysics, computational physics, and selected topics in mathematical physics. ",Seminar: Special Topics in Theoretical Physics,Boston University,,www.bu.edu,Var,GRS PY 895
,"Theory of finite groups, crystalline point groups, crystal double groups, crystal field theory, selection rules,  perturbation theory, Kramer's theorem, applications to solid-state physics.",Symmetry in Solid-State Physics,Boston University,,www.bu.edu,4,GRS PY 841
,Covers advanced methods in quantum field theory. Topics vary with interests of the instructor and  students as well as the state of current research.,Advanced Quantum Field Theory,Boston University,,www.bu.edu,4,GRS PY 811
,"Introduction to the principles and applications of advanced materials characterization including study of  atomic structure, electronic structure, defects, mechanical properties, transport properties, and carrier  dynamics.",Advanced Materials Characterization,Boston University,,www.bu.edu,4,GRS PY 782
,"Focus is modern work on modeling biochemical networks. Core material includes signaling, genetic  switches, biological oscillators and development. Begins with chemical kinetics in the context of molecular  biology. Simple yet informative models based on physics approaches are emphasized.",Systems Biology for Physical Scientists and Engineers,Boston University,,www.bu.edu,4,GRS PY 771
,Yearlong course (with GRS PY 751) on phenomenological aspects of modern high-energy physics. Principal  topics are the  standard model of strong and electro-weak interactions and the physics of electro-weak  symmetry  breaking. Intended for both theoretical and experimental students; emphasis on current  calculational techniques.,High-Energy Physics 2,Boston University,,www.bu.edu,4,GRS PY 752
,Yearlong course (with GRS PY 752) on phenomenological aspects of modern high-energy physics. Principal  topics are the standard model of strong and electro-weak interactions and the physics of electro-weak  symmetry breaking. Intended for both theoretical and experimental students; emphasis on current  calculational techniques.,High-Energy Physics 1,Boston University,,www.bu.edu,4,GRS PY 751
,"Introduction to classical and quantum chaos: Random Matrix Theory. Eigenstate thermalization  hypothesis. Doubly-stochastic evolution. Fluctuation theorems and other thermodynamic  relations.  Integrable systems, Many-body localization. Dynamics of Hamiltonian systems close  to the adiabatic limit. Counter-adiabatic driving. Non-adiabatic response and quantum  geometry.",Advanced Statistical Mechanics,Boston University,,www.bu.edu,4,GRS PY 747
,"Introduction to polymer physics, focusing on the structure, phase behavior, and dynamics of isolated chains, polymer solutions, and gels. Development of underlying theoretical formalism and comparison with experimental results. Discussion of applications to novel polymeric materials. ",Polymer Physics,Boston University,,www.bu.edu,4,GRS PY 744
,"Many-body Green function formalism, perturbation theory and Feynman diagrams. Quantum transport  theory and Kubo formula. Fermi liquids; Luttinger liquids and bosonization. Fermi liquid instabilities:  superconductivity, itinerant magnetism, spin-density waves. Magnetic impurities, Anderson model, Kondo  effect. Quantum magnetism and spin-wave theory.",Solid-State Physics II,Boston University,,www.bu.edu,4,GRS PY 742
,"One particle band structure. Electrons: Hartree-Fock and density functional frameworks; Green function,  pseudopotentials and tight binding methods. Linear response, optical properties and optical transitions.  Phonons: lattice dynamics and phenomenological methods. Many-body formalism and second  quantization. Electron-phonon interactions and related phenomena.",Solid-State Physics I,Boston University,,www.bu.edu,4,GRS PY 741
,An introduction to general relativity:  the principle of equivalence; Riemannian geometry; Einstein's field  equation; the Schwarzschild solution; the Newtonian limit; experimental tests; black holes; cosmology.,Theory of Relativity,Boston University,,www.bu.edu,4,GRS PY 731
,A continuation of GRS PY 713 for particle physicists. Topics include relativistic fields; LSZ formalism; the  Lorentz group; quantum electrodynamics; non-Abelian gauge symmetry; spontaneous symmetry breaking;  Goldstone's theorem; the Higgs mechanism; the Glashow-Weinberg-Salam model.,Quantum Field Theory II,Boston University,,www.bu.edu,4,GRS PY 714
,Provides an introduction to the techniques of quantum field theory with applications to high-energy and  condensed-matter physics. Topics include field equations and quantization of many-body systems; Green  function and linear response theory; S-matrix and scattering theory; path integration; perturbation  expansions and the Feynman rules; renormalization and effective field theories; epsilon expansion and  critical exponents.,Quantum Field Theory I,Boston University,,www.bu.edu,4,GRS PY 713
,"The goals, contents, and methods of instruction in physics. General teaching-learning issues. Required of all teaching fellows. ",Teaching College Physics I,Boston University,,www.bu.edu,2,GRS PY 699
,"Online course with in-person faculty-led sessions. Participants learn about effective teaching strategies  and the research that supports them, and apply approaches to lesson design and assignments for future  teaching opportunities. Also offered as GRS BI 677 and GRS CH 677.",An Introduction to Evidence-Based Undergraduate STEM Teaching,Boston University,,www.bu.edu,2,GRS PY 677
,"This course focuses on class readings, lectures, and research on a single neighborhood or community in    Boston (or Greater Boston). Greatest emphasis is on using primary sources-- land titles and deeds,    building permits, fire insurance atlases and other maps. There are both group and individual research    projects. Also offered as CAS AH 554 and CAS HI 569.",Boston Architectural and Community History Workshop,Boston University,,www.bu.edu,4,CAS AM 555
,"Covers key aspects of the history, theory, and practice of historic preservation. Preservation will be   discussed in the context of cultural history and the changing relationship between existing buildings and   landscapes and attitudes toward history, memory, invented tradition, and place. Also offered as CAS AH   546 and CAS HI 546.",Places of Memory: Historic Preservation Theory and Practice,Boston University,,www.bu.edu,4,CAS AM 546
,"Topic for Spring 2017: American Baseball. This interdisciplinary research seminar examines the history,  culture, and science of the game from its shadowy origins in the early days of the nineteenth century,  explosive growth in popularity during the Jazz Age, to the controversy-ridden Steroid Era.",Special Topics in American Studies,Boston University,,www.bu.edu,4,CAS AM 502
,"Topic for Fall 2016: Gilded Age Boston. Explores the Gilded Age in America through studying Boston and  its people, politics, and cultures. Students use a wide variety of approaches of historical study and conduct  original archival research. Some weeks are spent visiting and interpreting sites across Boston.",Special Topics in American Studies,Boston University,,www.bu.edu,4,CAS AM 501
,"Topic for Fall 2015: From Page to Screen: Film Adaptations of Persian and Arabic Literature. In this course  we explore film, and other media, adaptations of Arabic and Persian literature. Students examine  competing theories of adaptation and the historical changes that have occurred in film production in the  Arab world and Iran.",Topics in Arabic Literature,Boston University,,www.bu.edu,4,GRS LY 770
,"What is The Thousand and One Nights? How has this ever-expanding collection appealed to its diverse audiences? Focus on Nights structure and themes, notable translations and offshoots in western literature and art, and later appropriations by Arab and Muslim writers.",1001 Nights in the World Literary Imagination,Boston University,,www.bu.edu,4,GRS LY 741
,"An advanced Arabic language course that builds skills in reading, listening, discussion, presentation, and  composition while familiarizing students with a broad range of Arab online media and their coverage of  current socio-political and cultural issues.",Media Arabic,Boston University,,www.bu.edu,4,GRS LY 720
,"Selection of Arabic poetry, short stories, novels, and drama.  Focus on development and refinement of Arabic reading strategies, literary analysis of short passages, and writing and speaking skills. Readings and assignments in Arabic and English.",Introduction to Arabic Literature,Boston University,,www.bu.edu,4,GRS LY 650
,Students are assigned to an Arabic language advisor who supervises placement in an Arabic language course of an appropriate level. May be repeated for credit. ,Advanced Arabic for Graduate Students,Boston University,,www.bu.edu,4,GRS LY 613
,"Societies craft their histories and identities via memorials, thereby firming up the past for the future. In this course, we analyze the historical context, form, and message of important memorials in classical antiquity and modern America. ","Memory in 3-D: Memorials, Then and Now",Boston University,,www.bu.edu,4,CAS AR 593
,"Before plastic, there was pottery -- pots and pans, cups and dishes, crocks and jars -- in every culture and  in abundance. Research seminar studies pottery across time and space to elucidate personal habits as well as social, economic, and political developments.",Life Is a Bowl: Ceramic Studies in Archaeology,Boston University,,www.bu.edu,4,CAS AR 590
,"Exploration of food cultures and technologies through utensils for food preparation and consumption;  kitchens from prehistory to present; tradition and fashion in cooking and dining vessels; cooking  technology; utensils as metaphors and symbols. Ranges broadly across cultures, time, and space.",Pots and Pans: The Material Culture of Cookery & Dining,Boston University,,www.bu.edu,4,CAS AR 577
,"Analysis of major events and processes of the Mesoamerican area. Topics include rise of towns, temples,  and urbanism; the origin of state; and the development of empires.",Studies in Mesoamerican Archaeology,Boston University,,www.bu.edu,4,CAS AR 551
,In-depth examination of varying topics in the study of Roman art and architecture. Topic for Fall 2016:  Imperial Rome. The development of Rome from an Iron Age village to the capital of the Mediterranean  world. Focus on the topography and monuments of the city during the High and Late Empire. Also offered  as CAS AH 534.,Seminar in Roman Art,Boston University,,www.bu.edu,4,CAS AR 534
,"The purpose of this course is to turn students' intellectual interests into answerable, field-based research   questions. The goal is the production of a project proposal for future research. Also offered as CAS AN  510.",Proposal Writing for Social Science Research,Boston University,,www.bu.edu,4,CAS AR 510
,"Use of advanced computer (GIS) techniques to address regional archaeological problems.This applied course examines digital encoding and manipulation of archaeological and environmental data, and methods for testing hypotheses, analyzing, and modeling the archaeological record.",Regional Archaeology and Geographical Information Systems (GIS),Boston University,,www.bu.edu,4,CAS AR 506
,"An interdisciplinary course dealing with field and laboratory techniques, research methods, concepts and  problems in archaeological theory, and formulation of research designs.",Archaeological Field Methods: Survey and Excavation,Boston University,,www.bu.edu,4,CAS AR 503
,"Introduction to the practice of public archaeology in the United States: historical and legal background;  federal, state, and local programs; archaeology and Native Americans; contract archaeology; survey,  evaluation, and mitigation projects; professional employment in U.S. cultural resource management. This  course   cannot be taken for credit in addition to the course entitled ""U.S. Archaeological Heritage  Management"" that was previously numbered GRS AR 805.",Public Archaeology in the United States,Boston University,,www.bu.edu,4,CAS AR 500
,"Synthesis, structure, and function of biologically important macromolecules (DNA, RNA, and proteins). Regulation and control of the synthesis of RNA and proteins. Introduction to molecular biology of eukaryotes. Discussion of molecular biological techniques, including genetics and recombinant DNA techniques. Three hours lecture, one hour discussion. ",Molecular Biology I (CM),Boston University,,www.bu.edu,4,CAS BI 552
,"Views on stem cell research range from assumptions of a potential cure for most diseases to fears that it will depreciate the value of human life. This course equips students with the science that underlies this discussion, including the biological properties of stem cells and the experimental hurdles to utilization in regenerative medicine.  ",Biology of Stem Cells,Boston University,,www.bu.edu,4,CAS BI 551
,"Covers the evolution of genomes, the architecture of gene networks, and the connection between genotype and phenotype in marine organisms, as well as the technical development of modern genomics. Student research projects utilize modern genomics experimental approaches. ",Marine Genomics,Boston University,,www.bu.edu,4,CAS BI 550
,"Marine macrofauna: whales, seals, seabirds, fishes, turtles, jellies, and people in Stellwagen Bank National Marine Sanctuary. Evolution, food webs, and distributional ecology; physical and human influences on foraging and movement behavior. Student research builds ecosystem-based science for Sanctuary management. ",Marine Megafaunal Ecology: Stellwagen Bank National Marine Sanctuary and Surrounding Waters,Boston University,,www.bu.edu,4,CAS BI 546
,"Molecular and neuroendocrine mechanisms controlling reproductive and parental behaviors, ingestive  behaviors and metabolism, and circadian rhythms, pain perception, and reward in vertebrates. Three hours  lecture plus student-led discussions of relevant research papers. Also offered as CAS NE 545.",Neurobiology of Motivated Behavior,Boston University,,www.bu.edu,4,CAS BI 545
,"Explores the many biospheric threads that link and exchange throughout the earth. Themes include life  systems as a geological force, bacteria as a global organism, the major impacts of algae, and climate  change update. Three hours lecture.",Global Ecology,Boston University,,www.bu.edu,4,CAS BI 543
,"Tropical reefs-- diverse, complex, and ancient-- exhibit lawful cycles of growth, degradation, and  regeneration. Explore these through observations on the Belize Barrier Reef in fossil reef environments and through laboratory experiments. Insights are applied to reef conservation in today's changing world. Also offered as CAS ES 539.","Coral Reef Dynamics: Shallow Waters, Deep Time",Boston University,,www.bu.edu,4,CAS BI 539
,"An introduction to translational research focused on Alzheimer's disease, with particular emphasis on the  search for new therapeutic targets, from observations of pathogenic phenotypes in patients to the  development of appropriate animal and cellular models of the disease. Also offered as CAS NE 535.",Translational Research in AlzheimerÂs Disease,Boston University,,www.bu.edu,4,CAS BI 535
,"A comprehensive introduction to fish biology and systematics. Emphasis on phylogenetic relationships, ecology, and behavior. Labs include morphological studies of specimens and behavioral studies of live fishes. This course is a prerequisite for the field course.","Ichthyology: Behavior, Ecology, and Evolution of Fish (EBE)",Boston University,,www.bu.edu,4,CAS BI 531
,"The major biotic and abiotic factors influencing forest ecosystem composition, structure, and function. Role of solar radiation, hydrology, soils, succession, and management of forest ecosystems. Includes New England case study. Three hours lecture plus discussion. Meets with CAS GE 530.",Forest Ecology,Boston University,,www.bu.edu,4,CAS BI 530
,"Emphasizes protein, carbohydrate, nucleic acid, and lipid chemistry. Development and use of modern instrumentation and techniques. Four hours lab, one hour discussion. Same as CAS CH528 and laboratory portion of CAS BI/CH422. Required for BMB students enrolled concurrently in GMS BI 556.  Four hours lab, one hour discussion. ","Biochemistry Laboratory I, II",Boston University,,www.bu.edu,2,CAS BI 528
,"Emphasizes the purification and characterization of proteins and DNA. Development and use of modern instrumentation and techniques. Same as CH527 and laboratory portion of CAS BI/CH421. Required for BMB students enrolled concurrently in GMS BI 555. Four hours lab, one hour discussion.","Biochemistry Laboratory I, II",Boston University,,www.bu.edu,2,CAS BI 527
,"An in-depth look at molecular mechanisms of neurodegenerative diseases and their impact and relevance  in clinical diagnosis and treatment. Topics include the molecular pathways of Alzheimer's, Parkinson's,  Huntington's, and Creuztfeldt-Jacob Disease, and Amyotrophic Lateral Sclerosis. Also offered as CAS NE  525.",Biology of Neurodegenerative Diseases,Boston University,,www.bu.edu,4,CAS BI 525
,"Marine Urban Ecology is an emerging, interdisciplinary field that aims to understand how human and    ecological processes can coexist in human-dominated systems. Topics, ecosystems, and organisms    associated with urbanization in the Greater Boston area. Also offered as CAS GE 523.",Marine Urban Ecology,Boston University,,www.bu.edu,4,CAS BI 523
,"A broad survey of sensory system function in model organisms and humans, focusing on fundamental  principles of neural processing. Topics include basic cellular transduction, neural coding, and links  between neural activity and sensory perception. Also offered as CAS  NE 520.",Sensory Neurobiology,Boston University,,www.bu.edu,4,CAS BI 520
,"Familiarizes students with the theory of evolutionary ecology. Students gain enough background to read  theoretical evolutionary ecology literature, do simple modeling, and move on to more complex theory. Students gain experience through homework assignments and computer labs.",Theoretical Evolutionary Ecology,Boston University,,www.bu.edu,4,CAS BI 519
,"Examines the interaction of basic evolutionary processes, including mutation, natural selection, genetic drift, inbreeding, and recombination, in determining the genetic composition of populations. Covers both classic models of the modern evolutionary synthesis and newer approaches based on coalescent theory.",Population Genetics (EBE),Boston University,,www.bu.edu,4,CAS BI 515
,"Genetic techniques such as mutant selection and screening, complementation, mapping, recombinant DNA, and chemical genetic screening are taught using the genetic model systems Escherichia coli, Saccharomyces cerevisiae, and Arabidopsis thaliana. Short-term and long-term projects in which students formulate and test hypotheses.",Genetics Laboratory,Boston University,,www.bu.edu,4,CAS BI 513
,"Explores the flexible phenotype as a product of development and target of natural   selection, and addresses the role of plasticity in ecological interactions and evolutionary   diversity.  Topics:  plasticity genetics, evolution, developmental mechanisms, functional   ecology, learning, and diversification of life. Three hours lecture, one hour discussion. ",Phenotypic Plasticity,Boston University,,www.bu.edu,4,CAS BI 506
,"Modern concepts, controversies, and analytical approaches in evolutionary biology. Topics include  adaptation, natural and sexual selection, species and species formation, phylogenetics, origin of  evolutionary novelty, adaptive radiation, basic population and quantitative genetics, development and  evolution. Three hours lecture, one hour discussion.",Advanced Evolutionary Analysis (EBE),Boston University,,www.bu.edu,4,CAS BI 504
,Continues subject material of GRS CH 801 with more emphasis on writing.,Graduate Research Methods and Scholarly Writing 2 ,Boston University,,www.bu.edu,1,GRS CH 802
,"Introduces beginning graduate students to the fundamental methods of research, presentation, and  scholarship necessary for a successful career as a graduate student, a teacher, and an independent  research scientist. Includes RCR (responsible conduct of research) training.",Graduate Research Methods and Scholarly Writing 1,Boston University,,www.bu.edu,1,GRS CH 801
,"Current topics in advanced organic chemistry. Content varies with instructor, and may include ""The  Chemistry of Biotechnology,"" ""Drug Discovery,"" ""Organic Chemistry of Soft Materials,"" ""Biomimetic Total  Synthesis"" and other themes related to the instructor's research interests.",Current Topics in Organic Chemistry,Boston University,,www.bu.edu,4,GRS CH 744
,"Spectroscopic methods in organic structure determination, with main emphasis on nuclear magnetic  resonance and mass spectrometry.",Organic Spectroscopy and Structure Determination,Boston University,,www.bu.edu,4,GRS CH 741
,"Detailed analysis of special topics of research in biochemistry. Topics are determined by the instructor depending on interest and expertise. Subjects covered include protein analysis, mechanistic enzymology,  nucleic acid research, protein/nucleic acid interactions, and spectroscopic methods.",Special Topics in Biochmeistry,Boston University,,www.bu.edu,4,GRS CH 724
,"The goals, contents, and methods of instruction in chemistry. General teaching-learning issues. Required of all teaching fellows.",Teaching College Chemistry I,Boston University,,www.bu.edu,2,GRS CH 699
,"Introduction to statistical mechanical fundamentals; ensemble theory, Fermi-Dirac, Bose-Einstein, Gibbs-Boltzmann statistics; computational methods, Monte Carlo, Molecular Dynamics, many-body quantum mechanical simulations, normal mode analysis; ergodic hypothesis, modern theories of liquids and biomolecules, thermodynamic perturbation theory, integral equations, Debye-Huckel theory.",Statistical Mechanics I,Boston University,,www.bu.edu,4,GRS CH 655
,"The chemical bond; Huckel, molecular orbital, and valence bond theories; ab initio methods, density functional theory; Born-Oppenheimer approximation/breakdown; time-dependent processes; Fermi's golden rule; non-adiabaticity; time-dependent perturbation theory; computational methods.  ",Molecular Quantum Mechanics II,Boston University,,www.bu.edu,4,GRS CH 652
,"Postulates of quantum mechanics with emphasis on chemical applications; application to model systems: particle in a box, harmonic oscillator, rigid rotor, hydrogen atom; tunneling; angular momentum theory, spin; ladder operators, computational methods.  ",Molecular Quantum Mechanics I,Boston University,,www.bu.edu,4,GRS CH 651
,"Synthetic organic chemistry and pharmacology as applied to development, testing, and production of  medically useful agents. Lectures and discussions by research chemists affiliated with leading pharmaceutical companies. A research paper is required.",Medicinal Chemistry,Boston University,,www.bu.edu,4,GRS CH 644
,Organic synthesis strategies for total synthesis. Various approaches for organic molecules whose synthesis  constitutes major contributions to organic chemistry.,Synthetic Methods of Organic Chemistry,Boston University,,www.bu.edu,4,GRS CH 643
,"Fundamentals of organic reaction mechanisms. Techniques used to study reaction mechanisms. Reactive  intermediates: carbonium ions, radicals, carbenes, and nitrenes. Acid/base catalysis, reactions for the  carbonyl group, cycloaddition, nucleophilic displacement reactions, and redox chemistry.",Organic Reaction Mechanisms,Boston University,,www.bu.edu,4,GRS CH 642
,"Physical fundamentals of organic chemistry. Thermodynamics, kinetics, molecular orbital theory, and  theory of concerted reactions. Isotope effects, aromaticity, linear free energy relationships, acidity  functions, photo- and free-radical chemistry.",Physical Organic Chemistry,Boston University,,www.bu.edu,4,GRS CH 641
,"A discussion of the physical techniques for the study of structural, magnetic, and redox-active properties  of transitional metal complexes. Techniques discussed include x-ray crystallography; x-ray absorption;  vibrational, NMR, EPR, and Mossbauer spectroscopies; and electrochemistry.",Physical Methods for Inorganic and Bioinorganic Chemistry,Boston University,,www.bu.edu,4,GRS CH 633
,"The interdependence of chemical bonding, spectroscopic characteristics, and reactivity properties of  coordination compounds and complexes are described and formalized using the fundamental concept of  symmetry, as applied to inorganic coordination complexes.",Advanced Coordination Chemistry I: Structure and Bonding,Boston University,,www.bu.edu,4,GRS CH 631
,"Structural biology of DNA. Synthetic DNA objects, DNA templated synthesis, DNAzymes. While biological  function is mentioned, the main focus is DNA in nanotechnology, not the involvement of DNA in cell and  molecular biology.",DNA Nanotechnology,Boston University,,www.bu.edu,4,GRS CH 629
,"Surveys protein post-translational modifications and DNA/RNA processing, including mechanistic enzymology of protein and DNA modifications, signal transduction induced by the modifications, and related practical applications.",Epigenetics,Boston University,,www.bu.edu,4,GRS CH 626
,"Research at the chemistry-biology interface, including directed evolution, unnatural amino acid  mutagenesis, chemical genetics, proteomics, and fluorescent reporters of enzyme function. Reading,  discussing and evaluating the current chemical biology literature is a significant component of the course.",Chemical Biology,Boston University,,www.bu.edu,4,GRS CH 623
,"Polysaccharides, energy storage and recognition; intermediary metabolism; lipid and isoprene metabolism; nitrogen metabolism; nucleotide metabolism; macromolecular biosynthesis with emphasis on  specificity and fidelity in the mechanisms of RNA, DNA, and proteins synthesis. Three hours lecture, four hours laboratory, one hour discussion. Same as GRS BI 622.   Lecture and laboratory meet with CAS BI/CH 422",Biochemistry II,Boston University,,www.bu.edu,4,GRS CH 622
,"Introductory biochemistry. Protein structure and folding enzyme mechanisms, kinetics, and allostery; nucleic acid structure; lipids and membrane structure; bioenergetics; vitamins and coenzymes; introduction to intermediary metabolism. Three hours lecture, four hours laboratory, one hour discussion. Same as GRS BI 621.  Lecture and laboratory meet with CAS BI/CH 421.",Biochemistry I,Boston University,,www.bu.edu,4,GRS CH 621
,Directed study in a topic in classical studies.,Directed Study in Classical Studies,Boston University,,www.bu.edu,Var,GRS CL 992
,Directed study in a topic in classical studies.,Directed Study in Classical Studies,Boston University,,www.bu.edu,Var,GRS CL 991
,Directed study in a topic in ancient Greek.,Directed Study in Ancient Greek,Boston University,,www.bu.edu,Var,GRS CL 968
,Directed study in a topic in ancient Greek.,Directed Study in Ancient Greek.,Boston University,,www.bu.edu,Var,GRS CL 967
,Directed study in a topic in Latin.,Directed Study in Latin,Boston University,,www.bu.edu,Var,GRS CL 958
,Directed study in a topic in Latin.,Directed Study in Latin,Boston University,,www.bu.edu,Var,GRS CL 957
,Directed study in a topic in ancient Greek and/or Latin history.,Directed Study in Ancient Greek and Latin History.,Boston University,,www.bu.edu,Var,GRS CL 948
,Directed study in a topic in ancient Greek and/or Latin history.,Directed Study in Ancient Greek and Latin History,Boston University,,www.bu.edu,Var,GRS CL 947
,Topic for Fall 2016: Aristophanes and Political Comedy. Knights and selections from Acharnians and Wasps  in Greek; the basics of fifth-century comic style and form; modes of comic engagement with social and  political life.,Greek Seminar,Boston University,,www.bu.edu,4,GRS CL 791
,"Extensive readings in Latin authors. Specific topics may change. Topic for Fall 2016: Self and Community in  the Late Republic and Early Empire. Readings in Latin epistolography and biography, including Cicero,  Horace, Ovid, Seneca, Tacitus, Pliny, and Suetonius.",Latin Seminar,Boston University,,www.bu.edu,4,GRS CL 720
,"Investigation into genres of classical provenance which were influential in English literature. Specific topics  may vary. Topic for Spring 2017: Classical Translation and English Literature. The translation of Greek and  Roman literature has formed a vital component of English literary history. This course examines select case  studies of classical translation, together with readings on reception and translation theory. Required  reading is all in English.",The Classical Tradition in Modern Literature,Boston University,,www.bu.edu,4,GRS CL 710
,"The goals, contents, and methods of instruction in classical studies. General teaching-learning issues. Required of all teaching fellows. ",Teaching College Classical Studies I,Boston University,,www.bu.edu,2,GRS CL 699
,"Designed for graduate students in fields other than Classics who are preparing for language reading examinations. Develops a knowledge of the fundamentals of Latin grammar. Practice in translating passages. No previous knowledge of Latin required. Students will not receive graduate credit for this course, and there is no tuition charge.",Reading Latin for Graduate Students,Boston University,,www.bu.edu,0,GRS CL 621
,"Close study of exemplary Greek prose as the basis for original composition in Greek of sentences and short passages, then more extensive prose pieces.",Greek Prose Composition,Boston University,,www.bu.edu,4,CAS CL 563
,Reading course designed to study the history of Greek literature through a chronological  survey of representative authors and genres: Classical through Hellenistic period.,Survey of Greek Literature 2,Boston University,,www.bu.edu,4,CAS CL 562
,Reading course designed to study the history of Greek literature through a chronological  survey of representative authors and genres: Homer through the archaic age.  ,Survey of Greek Literature 1,Boston University,,www.bu.edu,4,CAS CL 561
,"Practice in set and free composition of Latin prose, aimed at developing advanced language proficiency. ",Latin Prose Composition,Boston University,,www.bu.edu,4,CAS CL 530
,Survey of Latin authors focusing on the period of the early Empire; introduction to classical scholarship. For advanced students wishing to increase their language skills through extensive reading.,Survey of Latin Literature II,Boston University,,www.bu.edu,4,CAS CL 522
,"Topic for Spring 2016: The Aeneid's Reception. This course expands upon the examination of Vergil's  Aeneid begun in CAS CL 451/502 A1 in Fall 2015, and examines the epic's later influence.",Studies in Latin Literature ,Boston University,,www.bu.edu,4,CAS CL 520
,"Topics vary. Open to advanced undergraduate and graduate students. The literature studied is read in   its original language, either ancient Greek or Latin, so advanced skill in the appropriate language is   required. Please contact the instructor if you are unsure whether you have the appropriate knowledge of  the  language. Topic for Fall 2016: Reading Thucydides in Greek. This seminar involves a close reading  of Thucydides' History of the Peloponnesian War. In studying selections of this greatest and most  difficult historian of antiquity, our focus is heavily philological -- grammar, syntax, style, and  translation. Also offered as CAS CL 461 A1.",Studies in Ancient Greek and Roman Literature,Boston University,,www.bu.edu,4,CAS CL 502
,"The goals, contents, and methods of instruction in cognitive and neural systems. General teaching-learning issues. Required of all teaching fellows. ",Teaching College Cognitive and Neural Systems I,Boston University,,www.bu.edu,2,GRS CN 699
,"Develops neural and computational models of how humans and animals learn to successfully predict environmental events and generate behavioral actions that satisfy internally defined criteria of success or failure. Reinforcement learning and its homeostatic (drive, arousal, rhythm) and nonhomeostatic (reinforcement) modulators are analyzed in depth. Recognition learning and recall learning networks are joined to the reinforcement learning network to analyze how these several processes cooperate to generate successful goal-oriented behavior. Maladaptive behaviors and certain mental disorders are analyzed from a unified theoretical perspective. Applications to the design of freely moving adaptive robots are noted. ","Neural and Computational Models of Conditioning, Reinforcement, Motivation, and Rhythm",Boston University,,www.bu.edu,4,CAS CN 570
,"Current models of mammalian visual processes are constrained by experimental and theoretical results from psychology, physiology, computer science, and mathematics. The course evaluates the explanatory adequacy of competing neural and computational models of such processes as edge detection, textural grouping, shape-from-shading, stereopsis, motion detection, and color perception. Students perform computer simulations of some of the examined models. ",Neural and Computational Models of Vision,Boston University,,www.bu.edu,4,CAS CN 530
,"Explores psychological, biological, mathematical, and computational foundations of behavioral and brain modeling. Topics include organizational principles, mechanisms, local circuits, network architectures, cooperative and competitive non-linear feedback systems, associative learning systems, and self-organizing code-compression systems. The adaptive resonance theory model unifies many course themes. CAS CN 510 and 520 may be taken concurrently.",Principles and Methods of Cognitive and Neural Modeling I,Boston University,,www.bu.edu,4,CAS CN 510
,Seminar restricted to graduate students; topics of mutual interest to faculty and students and not currently available in the graduate program.,Advanced Topics in Computer Science,Boston University,,www.bu.edu,4,GRS CS 791
,"The goals, contents, and methods of instruction in computer science. General teaching-learning issues. Required of all teaching fellows. ",Teaching College Computer Science I,Boston University,,www.bu.edu,2,GRS CS 699
,"Covers topics needed to be successful computer science teaching fellow. These include goals, content, and methods of instruction in computer science, and general teaching/learning issues. Required once of all teaching fellows.",CS Teaching Fellow Training,Boston University,,www.bu.edu,2,GRS CS 698
